iter	RMSE
0	8.549710882
1	8.33383211
2	8.132175145
3	7.945991033
4	7.772110359
5	7.609956114
6	7.462078246
7	7.323870258
8	7.196916084
9	7.080398621
10	6.9719439
11	6.871475947
12	6.780559553
13	6.697248495
14	6.61986383
15	6.549843081
16	6.483765104
17	6.423960915
18	6.370178731
19	6.319154039
20	6.272286212
21	6.229283729
22	6.190220563
23	6.155051004
24	6.122675225
25	6.092486653
26	6.064579769
27	6.039176646
28	6.016690376
29	5.99602147
30	5.976962664
31	5.95898652
32	5.942464463
33	5.927759574
34	5.913718866
35	5.900836812
36	5.888684337
37	5.877916298
38	5.868290704
39	5.85912647
40	5.85076695
41	5.842791227
42	5.83558785
43	5.828565432
44	5.822453695
45	5.816538169
46	5.810832526
47	5.805672957
48	5.800873866
49	5.796573778
50	5.792842979
51	5.789186725
52	5.785691856
53	5.78241316
54	5.779404398
55	5.776371018
56	5.773879093
57	5.771163894
58	5.768535207
59	5.766120656
60	5.763774356
61	5.761739928
62	5.759848794
63	5.758180044
64	5.756518344
65	5.754771752
66	5.753255023
67	5.751760202
68	5.750345418
69	5.74901309
70	5.747760598
71	5.746481158
72	5.745322631
73	5.743984341
74	5.742727542
75	5.741180635
76	5.740140171
77	5.739053972
78	5.738075895
79	5.737179476
80	5.736154608
81	5.735143575
82	5.733969162
83	5.733142672
84	5.732368286
85	5.731639959
86	5.730658872
87	5.729820654
88	5.729121718
89	5.728306584
90	5.727422752
91	5.726771952
92	5.726132023
93	5.725332978
94	5.724397802
95	5.723874116
96	5.723297845
97	5.722732963
98	5.722062699
99	5.721397346
100	5.720464144
101	5.719917558
102	5.719382818
103	5.719020204
104	5.718472035
105	5.717834553
106	5.71722445
107	5.716729908
108	5.716111317
109	5.715486339
110	5.715075827
111	5.714662388
112	5.713792577
113	5.713186856
114	5.712712208
115	5.712179691
116	5.71150889
117	5.710651096
118	5.710053259
119	5.709556725
120	5.709073051
121	5.708344466
122	5.707676878
123	5.707213219
124	5.706865591
125	5.706354038
126	5.705802025
127	5.705150354
128	5.704626461
129	5.703899942
130	5.703220029
131	5.70270613
132	5.701989647
133	5.701374829
134	5.700840633
135	5.700298041
136	5.700007588
137	5.699021439
138	5.698494338
139	5.697724638
140	5.697388536
141	5.696763291
142	5.696165928
143	5.695666638
144	5.695186363
145	5.694254573
146	5.693614305
147	5.693034556
148	5.692234367
149	5.69178355
150	5.691378192
151	5.690508041
152	5.690083495
153	5.68942184
154	5.688990779
155	5.688456499
156	5.687969687
157	5.687488148
158	5.686736275
159	5.686354203
160	5.685898933
161	5.685235074
162	5.684704522
163	5.684405575
164	5.683953535
165	5.683519572
166	5.682996758
167	5.682359812
168	5.681963781
169	5.681140854
170	5.680696427
171	5.680250175
172	5.679833903
173	5.679323433
174	5.678900181
175	5.678609001
176	5.678126227
177	5.677708399
178	5.677335096
179	5.676937254
180	5.67660175
181	5.67625892
182	5.675752345
183	5.675379843
184	5.675204627
185	5.674675216
186	5.674267159
187	5.673667884
188	5.673161376
189	5.672755444
190	5.672221077
191	5.671864787
192	5.67158478
193	5.670760227
194	5.670395257
195	5.670000692
196	5.669632558
197	5.669035609
198	5.668694113
199	5.668402195
