iter	Passed	Remaining
0	170	33954
1	349	34576
2	533	35027
3	720	35316
4	907	35386
5	1087	35147
6	1281	35329
7	1459	35032
8	1648	34978
9	1839	34943
10	2021	34735
11	2202	34508
12	2379	34221
13	2558	33997
14	2741	33805
15	2929	33686
16	3106	33440
17	3286	33235
18	3468	33046
19	3647	32825
20	3828	32635
21	4016	32494
22	4205	32360
23	4398	32258
24	4581	32068
25	4770	31925
26	4950	31721
27	5122	31468
28	5299	31249
29	5469	30991
30	5645	30778
31	5823	30571
32	6004	30386
33	6176	30153
34	6348	29927
35	6524	29724
36	6703	29531
37	6868	29283
38	7038	29054
39	7203	28812
40	7375	28602
41	7558	28434
42	7734	28239
43	7914	28060
44	8084	27848
45	8270	27686
46	8441	27481
47	8619	27296
48	8795	27105
49	8973	26919
50	9146	26723
51	9325	26541
52	9489	26320
53	9661	26122
54	9834	25928
55	10004	25724
56	10171	25517
57	10345	25327
58	10508	25113
59	10677	24914
60	10833	24686
61	10994	24472
62	11172	24295
63	11334	24085
64	11503	23890
65	11664	23683
66	11822	23469
67	11975	23247
68	12151	23070
69	12307	22857
70	12464	22647
71	12624	22443
72	12775	22225
73	12932	22020
74	13099	21832
75	13265	21644
76	13432	21457
77	13591	21258
78	13745	21053
79	13902	20853
80	14071	20673
81	14230	20478
82	14392	20288
83	14559	20105
84	14708	19900
85	14866	19707
86	15031	19523
87	15190	19332
88	15346	19139
89	15508	18955
90	15691	18795
91	15845	18601
92	16013	18423
93	16180	18246
94	16348	18069
95	16495	17870
96	16647	17677
97	16804	17490
98	16973	17315
99	17125	17125
100	17297	16955
101	17448	16763
102	17597	16572
103	17743	16378
104	17892	16188
105	18049	16006
106	18213	15830
107	18374	15652
108	18523	15464
109	18679	15283
110	18832	15100
111	18986	14918
112	19152	14745
113	19309	14566
114	19459	14383
115	19612	14201
116	19774	14028
117	19937	13854
118	20110	13688
119	20267	13511
120	20425	13335
121	20587	13162
122	20740	12983
123	20885	12801
124	21044	12626
125	21205	12454
126	21367	12281
127	21535	12113
128	21696	11941
129	21847	11764
130	22017	11596
131	22190	11431
132	22345	11256
133	22500	11082
134	22648	10904
135	22812	10735
136	22962	10559
137	23124	10389
138	23285	10218
139	23446	10048
140	23606	9877
141	23772	9710
142	23932	9539
143	24089	9367
144	24254	9199
145	24408	9027
146	24563	8856
147	24744	8693
148	24923	8530
149	25082	8360
150	25239	8190
151	25407	8023
152	25566	7853
153	25730	7685
154	25889	7516
155	26045	7346
156	26208	7178
157	26382	7012
158	26528	6840
159	26690	6672
160	26866	6507
161	27014	6336
162	27173	6168
163	27323	5997
164	27484	5830
165	27639	5661
166	27800	5493
167	27970	5327
168	28130	5160
169	28300	4994
170	28465	4827
171	28634	4661
172	28785	4492
173	28950	4325
174	29111	4158
175	29268	3991
176	29436	3825
177	29618	3660
178	29775	3493
179	29936	3326
180	30094	3159
181	30252	2991
182	30416	2825
183	30573	2658
184	30714	2490
185	30874	2323
186	31020	2156
187	31187	1990
188	31342	1824
189	31499	1657
190	31659	1491
191	31814	1325
192	31976	1159
193	32149	994
194	32308	828
195	32476	662
196	32615	496
197	32782	331
198	32935	165
199	33090	0
