Matrix,Radius_km,Horizon_h,Training,Frost_ROC_AUC,Frost_PR_AUC,Frost_Recall,Frost_Precision,Frost_F2,Frost_Brier_Score,Frost_ECE,Temp_MAE,Temp_RMSE,Temp_R2
A,--,12,Balanced,0.9855,0.3928,0.9187,0.1196,,0.0287,0.0378,2.1625,2.7892,0.9006
A,--,12,Unbalanced,0.9856,0.3884,0.4119,0.3856,,0.0049,0.0037,2.1625,2.7892,0.9006
A,--,24,Balanced,0.9820,0.3688,0.8931,0.0937,,0.0356,0.0483,1.9902,2.5893,0.9143
A,--,24,Unbalanced,0.9821,0.3059,0.3869,0.3708,,0.0052,0.0042,1.9902,2.5893,0.9143
A,--,3,Balanced,0.9949,0.7083,0.9327,0.2797,,0.0104,0.0131,1.2384,1.6346,0.9659
A,--,3,Unbalanced,0.9967,0.7148,0.6330,0.6587,,0.0027,0.0011,1.2384,1.6346,0.9659
A,--,6,Balanced,0.9921,0.5413,0.9244,0.1801,,0.0183,0.0232,1.7310,2.2487,0.9354
A,--,6,Unbalanced,0.9923,0.5397,0.5652,0.4874,,0.0041,0.0027,1.7310,2.2487,0.9354
B,--,12,Balanced,0.9892,0.5056,0.8673,0.1948,,0.0149,0.0195,1.8363,2.3671,0.9269
B,--,12,Unbalanced,0.9894,0.4280,0.4566,0.4542,,0.0044,0.0028,1.8433,2.3828,0.9259
B,--,24,Balanced,0.9844,0.4021,0.8763,0.1260,,0.0248,0.0325,1.9113,2.4821,0.9196
B,--,24,Unbalanced,0.9843,0.3207,0.4566,0.2926,,0.0065,0.0061,1.9455,2.5315,0.9163
B,--,3,Balanced,0.9969,0.7351,0.9105,0.3684,,0.0068,0.0081,1.1253,1.4928,0.9709
B,--,3,Unbalanced,0.9969,0.7042,0.6393,0.6159,,0.0029,0.0016,1.1385,1.5046,0.9704
B,--,6,Balanced,0.9940,0.5723,0.8863,0.2660,,0.0106,0.0127,1.5184,1.9615,0.9498
B,--,6,Unbalanced,0.9937,0.5531,0.5566,0.5197,,0.0038,0.0023,1.5418,1.9889,0.9484
C,100,12,Balanced,0.9857,0.4257,0.9088,0.1285,,0.0261,0.0349,2.0022,2.5937,0.9141
C,100,12,Unbalanced,0.9880,0.4298,0.4400,0.4337,,0.0046,0.0029,1.9423,2.5228,0.9187
C,120,12,Balanced,0.9866,0.4365,0.9124,0.1237,,0.0276,0.0370,1.9519,2.5261,0.9185
C,120,12,Unbalanced,0.9882,0.4590,0.4990,0.4250,,0.0047,0.0036,1.8942,2.4589,0.9228
C,140,12,Balanced,0.9872,0.4545,0.9056,0.1202,,0.0286,0.0380,1.9494,2.5258,0.9185
C,140,12,Unbalanced,0.9892,0.4688,0.5078,0.4302,,0.0046,0.0037,1.8932,2.4584,0.9228
C,160,12,Balanced,0.9877,0.4698,0.9103,0.1222,,0.0286,0.0378,1.9397,2.5161,0.9191
C,160,12,Unbalanced,0.9899,0.4798,0.5469,0.4421,,0.0046,0.0040,1.8917,2.4590,0.9228
C,180,12,Balanced,0.9861,0.4657,0.9108,0.1274,,0.0266,0.0356,1.9241,2.5012,0.9201
C,180,12,Unbalanced,0.9896,0.4820,0.5146,0.4515,,0.0045,0.0033,1.8709,2.4416,0.9238
C,20,12,Balanced,0.9849,0.3819,0.9322,0.0999,,0.0356,0.0484,2.2031,2.8411,0.8969
C,20,12,Unbalanced,0.9868,0.3869,0.4307,0.3900,,0.0050,0.0041,2.1642,2.7946,0.9002
C,200,12,Balanced,0.9882,0.4922,0.9192,0.1273,,0.0267,0.0357,1.9110,2.4851,0.9211
C,200,12,Unbalanced,0.9901,0.4914,0.5297,0.4680,,0.0043,0.0032,1.8528,2.4185,0.9253
C,40,12,Balanced,0.9879,0.4143,0.9437,0.1102,,0.0324,0.0431,2.1607,2.7960,0.9001
C,40,12,Unbalanced,0.9889,0.4310,0.4974,0.3963,,0.0049,0.0043,2.1062,2.7316,0.9047
C,60,12,Balanced,0.9886,0.4200,0.8983,0.1468,,0.0223,0.0286,2.0690,2.6638,0.9094
C,60,12,Unbalanced,0.9884,0.4048,0.4849,0.4150,,0.0048,0.0036,2.0690,2.6638,0.9094
C,80,12,Balanced,0.9863,0.4444,0.9197,0.1334,,0.0254,0.0345,2.0897,2.6930,0.9074
C,80,12,Unbalanced,0.9888,0.4715,0.4859,0.4639,,0.0044,0.0028,2.0500,2.6477,0.9104
C,100,24,Balanced,0.9852,0.4387,0.8942,0.1111,,0.0288,0.0404,1.9082,2.4857,0.9211
C,100,24,Unbalanced,0.9861,0.3748,0.4588,0.4209,,0.0048,0.0031,1.8805,2.4486,0.9234
C,120,24,Balanced,0.9840,0.4441,0.8926,0.1037,,0.0312,0.0434,1.8904,2.4660,0.9223
C,120,24,Unbalanced,0.9849,0.4256,0.5349,0.3994,,0.0051,0.0045,1.8556,2.4191,0.9252
C,140,24,Balanced,0.9858,0.4408,0.9077,0.1097,,0.0299,0.0428,1.8879,2.4607,0.9226
C,140,24,Unbalanced,0.9866,0.4317,0.4698,0.4512,,0.0046,0.0033,1.8557,2.4166,0.9254
C,160,24,Balanced,0.9871,0.4549,0.9150,0.1082,,0.0304,0.0429,1.8830,2.4537,0.9231
C,160,24,Unbalanced,0.9877,0.4596,0.5073,0.4600,,0.0044,0.0034,1.8536,2.4135,0.9256
C,180,24,Balanced,0.9876,0.4531,0.9093,0.1170,,0.0278,0.0396,1.8665,2.4361,0.9242
C,180,24,Unbalanced,0.9877,0.4671,0.5047,0.4449,,0.0045,0.0032,1.8313,2.3881,0.9271
C,20,24,Balanced,0.9823,0.3636,0.9155,0.0793,,0.0434,0.0595,1.9792,2.5767,0.9152
C,20,24,Unbalanced,0.9841,0.3427,0.4004,0.3846,,0.0051,0.0041,1.9595,2.5507,0.9169
C,200,24,Balanced,0.9876,0.4743,0.9082,0.1184,,0.0273,0.0389,1.8605,2.4283,0.9247
C,200,24,Unbalanced,0.9876,0.4533,0.5235,0.4582,,0.0045,0.0033,1.8205,2.3741,0.9280
C,40,24,Balanced,0.9840,0.3857,0.9103,0.0892,,0.0368,0.0513,1.9495,2.5304,0.9182
C,40,24,Unbalanced,0.9858,0.4258,0.4557,0.4399,,0.0046,0.0034,1.9356,2.5096,0.9195
C,60,24,Balanced,0.9831,0.4100,0.8676,0.1170,,0.0263,0.0363,1.9288,2.4986,0.9202
C,60,24,Unbalanced,0.9847,0.3891,0.4244,0.4244,,0.0049,0.0036,1.9288,2.4986,0.9202
C,80,24,Balanced,0.9830,0.3888,0.9150,0.0947,,0.0358,0.0498,1.9526,2.5262,0.9185
C,80,24,Unbalanced,0.9852,0.4051,0.4703,0.4126,,0.0049,0.0040,1.9407,2.5066,0.9197
C,100,3,Balanced,0.9970,0.7142,0.9536,0.2861,,0.0102,0.0131,1.2039,1.5930,0.9676
C,100,3,Unbalanced,0.9972,0.7282,0.6569,0.6852,,0.0026,0.0012,1.1581,1.5406,0.9697
C,120,3,Balanced,0.9968,0.7073,0.9572,0.2697,,0.0112,0.0144,1.1925,1.5776,0.9682
C,120,3,Unbalanced,0.9971,0.7182,0.6757,0.6391,,0.0028,0.0015,1.1530,1.5299,0.9701
C,140,3,Balanced,0.9970,0.7128,0.9682,0.2684,,0.0114,0.0147,1.1932,1.5776,0.9682
C,140,3,Unbalanced,0.9970,0.7058,0.6799,0.6290,,0.0029,0.0016,1.1517,1.5296,0.9701
C,160,3,Balanced,0.9971,0.7137,0.9708,0.2630,,0.0117,0.0148,1.1876,1.5675,0.9686
C,160,3,Unbalanced,0.9970,0.7187,0.6877,0.6366,,0.0028,0.0014,1.1547,1.5295,0.9701
C,180,3,Balanced,0.9971,0.7143,0.9682,0.2711,,0.0112,0.0143,1.1848,1.5661,0.9687
C,180,3,Unbalanced,0.9970,0.7078,0.6835,0.6261,,0.0029,0.0015,1.1519,1.5294,0.9701
C,20,3,Balanced,0.9968,0.7045,0.9640,0.2430,,0.0131,0.0173,1.2598,1.6566,0.9649
C,20,3,Unbalanced,0.9968,0.7194,0.6528,0.6517,,0.0027,0.0011,1.2153,1.6057,0.9671
C,200,3,Balanced,0.9971,0.7126,0.9708,0.2754,,0.0109,0.0140,1.1848,1.5653,0.9687
C,200,3,Unbalanced,0.9969,0.7035,0.6783,0.6312,,0.0029,0.0016,1.1494,1.5259,0.9703
C,40,3,Balanced,0.9970,0.7104,0.9713,0.2643,,0.0118,0.0154,1.2424,1.6375,0.9657
C,40,3,Unbalanced,0.9969,0.7092,0.6867,0.6227,,0.0029,0.0015,1.1999,1.5899,0.9677
C,60,3,Balanced,0.9970,0.7183,0.9333,0.3421,,0.0078,0.0095,1.1905,1.5797,0.9681
