model,matrix_cell,horizon_h,radius_km,roc_auc,pr_auc,brier_score,f1_score,precision,recall,temp_rmse,temp_mae,temp_r2,path
catboost,A,3,0.0,0.9828574014807361,0.33976335487870307,0.0042596068795908906,0.34408602150537637,0.48484848484848486,0.26666666666666666,3.872383666916218,2.994880621141864,0.8086085649377257,experiments/catboost/raw/A/full_training/horizon_3h
gru,A,3,0.0,0.9966335393087492,0.7367239044851964,0.0025471841665273883,0.46230641238960707,0.3063613231552163,0.9416058394160584,1.5467130757850758,1.1264623631005646,0.969438255936823,experiments/gru/raw/A/A/full_training/horizon_12h/full_training/horizon_3h
gru,A,3,0.0,0.9963683854577791,0.7417919326892803,0.0025064727151505586,0.4737259044098231,0.3171852899575672,0.935349322210636,1.563669828084467,1.119346160799989,0.9687644805335305,experiments/gru/raw/A/A/full_training/horizon_24h/full_training/horizon_3h
gru,A,3,0.0,0.9969426837150492,0.740804485797967,0.0025071000335470865,0.4603315196760724,0.3039264828738513,0.9483837330552659,1.5985778372663502,1.1453844653643663,0.9673542841957107,experiments/gru/raw/A/A/full_training/horizon_3h/full_training/horizon_3h
gru,A,3,0.0,0.9958690847568845,0.7394620509636068,0.002537679433691887,0.4982583252055176,0.3399885909868796,0.9322210636079249,1.5398735640302776,1.1167754223042021,0.9697079442908515,experiments/gru/raw/A/A/full_training/horizon_6h/full_training/horizon_3h
lightgbm,A,3,0.0,0.9966521148702686,0.7148407451319002,0.0027383823620786025,0.6455729859080032,0.6587086272381986,0.6329509906152242,1.6345665047067963,1.2383744151754121,0.9658678370188798,experiments/lightgbm/raw/A/full_training/horizon_3h
lstm,A,3,0.0,0.9684172554557219,0.34577360542922947,0.004273543244082199,0.3961876284806578,0.3087678415380134,0.5526590198123045,2.7219672235486163,2.0256235739278834,0.9053491751402701,experiments/lstm/raw/A/A/full_training/horizon_12h/full_training/horizon_3h
lstm,A,3,0.0,0.9836429750857889,0.3561349436776113,0.004252117746543703,0.4093464511595221,0.3086910439851616,0.6074035453597497,2.591977882607057,1.942336957552669,0.9141735393796945,experiments/lstm/raw/A/A/full_training/horizon_24h/full_training/horizon_3h
lstm,A,3,0.0,0.9858980678882788,0.35857856750266165,0.004209968653369558,0.3934377330350485,0.2755379151869647,0.6876955161626694,2.7250289365196725,2.037774039909067,0.905136125814772,experiments/lstm/raw/A/A/full_training/horizon_3h/full_training/horizon_3h
lstm,A,3,0.0,0.9842535852221401,0.3832915609598786,0.004104775703814556,0.4112627986348123,0.3056823947234906,0.6282586027111574,2.69230388328656,2.044660447420338,0.9074008978811513,experiments/lstm/raw/A/A/full_training/horizon_6h/full_training/horizon_3h
random_forest,A,3,0.0,0.9791836318588524,0.3251565738184528,0.004198996749615845,0.24652087475149106,0.5486725663716814,0.15897435897435896,4.1092839272340616,3.175659101458289,0.7844748091058251,experiments/random_forest/raw/A/full_training/horizon_3h
tcn,A,3,0.0,0.9958403932424673,0.7231133176597418,0.002554681075178371,0.4189267166762839,0.26900844819919967,0.9462982273201251,1.5320160155312619,1.1065527974157991,0.9700162995013353,experiments/tcn/raw/A/A/full_training/horizon_12h/full_training/horizon_3h
tcn,A,3,0.0,0.9949184723136975,0.7128703894706121,0.002611634829670006,0.4068551079456933,0.2586304470854556,0.9530761209593326,1.524814485219722,1.1072177408769843,0.9702975250491336,experiments/tcn/raw/A/A/full_training/horizon_24h/full_training/horizon_3h
tcn,A,3,0.0,0.9927009919600813,0.6460189922190684,0.002958337618729044,0.134247256454878,0.07203018407713709,0.9854014598540146,1.5421635978287211,1.1142788170595914,0.9696177792085536,experiments/tcn/raw/A/A/full_training/horizon_3h/full_training/horizon_3h
tcn,A,3,0.0,0.9944806748349301,0.7034233246294638,0.0027079624819905898,0.4,0.2534857780256553,0.9478623566214807,1.5151701265259596,1.0955737914993893,0.9706720694938288,experiments/tcn/raw/A/A/full_training/horizon_6h/full_training/horizon_3h
xgboost,A,3,0.0,0.9828872591879254,0.3173206202763788,0.004491248024522085,0.36239575435936316,0.44341372912801486,0.30641025641025643,3.820068356417734,2.941265543875538,0.8137449709189084,experiments/xgboost/raw/A/full_training/horizon_3h
catboost,A,6,0.0,0.9663277398901109,0.21674199153526283,0.004748691457907371,0.15570175438596492,0.5378787878787878,0.09102564102564102,4.643096069899933,3.6889813582757545,0.724838238830495,experiments/catboost/raw/A/full_training/horizon_6h
