,,roc_auc,roc_auc,pr_auc,pr_auc,brier_score,brier_score,temp_rmse,temp_rmse
,,mean,max,mean,max,mean,min,mean,min
matrix_cell,horizon_h,,,,,,,,
A,3,0.9892,0.9969,0.5553,0.7418,0.0033,0.0025,2.2832,1.5152
A,6,0.9794,0.9935,0.4270,0.6193,0.0040,0.0032,3.1011,2.2024
A,12,0.9581,0.9883,0.2931,0.4577,0.0045,0.0038,3.8203,2.6845
A,24,0.9600,0.9821,0.2443,0.3291,0.0051,0.0047,3.5356,2.5893
B,3,0.9768,0.9969,0.5441,0.7042,0.0035,0.0028,2.2183,1.5046
B,6,0.9450,0.9937,0.3581,0.5531,0.0045,0.0038,2.9804,1.9889
B,12,0.9413,0.9896,0.2735,0.4392,0.0053,0.0044,3.3700,2.3701
B,24,0.9216,0.9843,0.1502,0.3207,0.0073,0.0049,3.9131,2.5315
C,3,0.9869,0.9972,0.4368,0.7282,0.0039,0.0026,3.3075,1.5259
C,6,0.9741,0.9943,0.3059,0.5934,0.0045,0.0036,4.0073,2.0299
C,12,0.9644,0.9901,0.2272,0.4914,0.0048,0.0043,4.5004,2.4185
C,24,0.9511,0.9877,0.1914,0.4671,0.0049,0.0044,4.7916,2.3741
D,3,0.9852,0.9874,0.3535,0.3931,0.0041,0.0038,3.7211,3.5990
D,6,0.9702,0.9737,0.2347,0.2676,0.0046,0.0043,4.4690,4.3638
D,12,0.9581,0.9634,0.1439,0.1891,0.0049,0.0046,5.0570,4.9771
D,24,0.9413,0.9521,0.1125,0.1503,0.0049,0.0047,5.4447,5.3610
