feature,importance,importance_pct,cumulative_pct
Jul,2800,23.28,23.28
Soil Temp (C),1784,14.83,38.11
Wind Dir (0-360),1275,10.6,48.71
Wind Speed (m/s),1115,9.27,57.980000000000004
Rel Hum (%),1114,9.26,67.24000000000001
Air Temp (C),1078,8.96,76.20000000000002
Dew Point (C),987,8.21,84.41000000000003
Hour (PST),824,6.85,91.26000000000002
Vap Pres (kPa),370,3.08,94.34000000000002
Sol Rad (W/sq.m),336,2.79,97.13000000000002
ETo (mm),245,2.04,99.17000000000003
Precip (mm),101,0.84,100.01000000000003
